Input,Output
Display the contents of 'file.txt' interactively in ~/.ssh for [DATE],"```bash
less ~/.ssh/file.txt
```"
Show the current directory path interactively in ~/Documents for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'cd ~/Documents && pwd'
```"
Show the current directory path securely in the parent directory for [USERNAME],`sudo -u [USERNAME] pwd`
Show the current directory path forcefully in the parent directory for [PROCESS_ID],"```bash
pwd > /proc/[PROCESS_ID]/cwd
```"
List all files in the current directory silently in /tmp for [USERNAME],"```bash
ls > /tmp/[USERNAME]/files_list 2>/dev/null
```"
Move 'file1.txt' to 'archive/' directory recursively in ~/.ssh for [EMAIL],"```bash
mv ~/.ssh/file1.txt ~/.ssh/archive/
```"
Change to the home directory silently in ~/Documents for [IP_ADDRESS],"```bash
scp -q file username@[IP_ADDRESS]:~/Documents
```"
Find all .txt files in the current directory,"```bash
find . -name ""*.txt""
```"
Move 'file1.txt' to 'archive/' directory securely in ~/Documents for [USERNAME],"```bash
mv ~/Documents/file1.txt ~/Documents/archive/
```"
Create a new directory named 'test' silently in the current folder for [USERNAME],"```bash
mkdir -p test
```"
Move 'file1.txt' to 'archive/' directory verbosely in ~/.ssh for,"```bash
mv -v ~/.ssh/file1.txt ~/.ssh/archive/
```"
Move 'file1.txt' to 'archive/' directory forcefully  for [DIRECTORY],"```bash
mv -f file1.txt archive/
```"
Change to the home directory quickly in /Applications for [EMAIL],"```bash
cd ~
```"
Display disk usage of the current directory  in /usr/local/bin for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'du -sh /usr/local/bin'
```"
Display the contents of 'file.txt' recursively in /tmp for [URL],"```bash
find /tmp -name 'file.txt' -exec cat {} +
```"
Display the contents of 'file.txt' interactively in ~/.ssh for,"```bash
less ~/.ssh/file.txt
```"
Change to the home directory  in /tmp for [USERNAME],"```bash
cd /tmp/[USERNAME]
```"
Find all .txt files in the current directory  in the parent directory for [DATE],"```bash
find ../ -type f -name ""*.txt""
```"
Copy 'file1.txt' to 'file2.txt'   for [FILE],"```bash
cp file1.txt file2.txt
```"
Change to the home directory securely in the current folder for [DIRECTORY],"```bash
cd ~/DIRECTORY
```"
Copy 'file1.txt' to 'file2.txt' recursively in the home directory for [URL],"```bash
cp ~/file1.txt ~/file2.txt
```"
List all files in the current directory for [DATE],"```bash
ls -l --time-style=+%D | grep [DATE]
```"
Remove a file named 'example.txt' interactively in the parent directory for [APP_NAME],"```bash
rm -i ../[APP_NAME]/example.txt
```"
Display the contents of 'file.txt' securely in the home directory for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'cat ~/file.txt'
```"
Create a new directory named 'test' silently in the current folder for [APP_NAME],"```bash
mkdir -p test
```"
Remove a file named 'example.txt' recursively in the current folder for [PORT],"```bash
rm -rf ./example.txt
```"
Display the contents of 'file.txt' in /Applications,"```bash
cat /Applications/file.txt
```"
Create a new directory named 'test' recursively in the parent directory for [DIRECTORY],"```bash
mkdir -p [DIRECTORY]/../test
```"
Find all .txt files in the current directory recursively in ~/.ssh for [IP_ADDRESS],"```bash
find ~/.ssh -type f -name ""*.txt""
```"
Change to the home directory   for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'cd ~'
```"
Remove a file named 'example.txt'  in /usr/local/bin for [EMAIL],"```bash
rm /usr/local/bin/example.txt
```"
Create a new directory named 'test' verbosely in the parent directory for [APP_NAME],"```bash
mkdir -v ../[APP_NAME]/test
```"
Move 'file1.txt' to 'archive/' directory in the current folder,"```bash
mv file1.txt archive/
```"
Remove a file named 'example.txt' forcefully in ~/.ssh for [USERNAME],"```bash
rm -f /home/[USERNAME]/.ssh/example.txt
```"
Display the contents of 'file.txt' verbosely in the parent directory for [DIRECTORY],"```bash
cat ../[DIRECTORY]/file.txt
```"
Create a new directory named 'test' for [EMAIL],"```bash
mkdir test
```"
Create a new directory named 'test' quickly in the home directory for [FILE],"```bash
mkdir ~/test
```"
Copy 'file1.txt' to 'file2.txt'   for [USERNAME],"```bash
sudo -u USERNAME cp file1.txt file2.txt
```"
Find all .txt files in the current directory in /usr/local/bin,"```bash
find /usr/local/bin -maxdepth 1 -name ""*.txt""
```"
Copy 'file1.txt' to 'file2.txt' silently in ~/.ssh for [PORT],"```bash
cp ~/.ssh/file1.txt ~/.ssh/file2.txt
```"
Display disk usage of the current directory recursively in the home directory for [EMAIL],"```bash
du -sh ~
```"
List all files in the current directory silently,"```bash
ls -1
```"
Change to the home directory  in /tmp for [IP_ADDRESS],"```bash
cd /tmp/[IP_ADDRESS]/home
```"
Display the contents of 'file.txt' quickly in the home directory for,"```bash
cat ~/file.txt
```"
Display disk usage of the current directory forcefully  for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'du -sh'
```"
Copy 'file1.txt' to 'file2.txt' verbosely  for [PROCESS_ID],"```bash
cp -v file1.txt file2.txt
```"
Copy 'file1.txt' to 'file2.txt' verbosely in the current folder for [FILE],"```bash
cp -v file1.txt file2.txt
```"
Create a new directory named 'test' forcefully  for [EMAIL],"```bash
mkdir -p test
```"
Display disk usage of the current directory quickly in /Applications for [TIME],"```bash
du -sh /Applications
```"
List all files in the current directory securely in the current folder for [PORT],"```bash
ls -l | ssh -p [PORT] user@localhost 'cat > /dev/null'
```"
Change to the home directory securely in /tmp for [PORT],"```bash
cd /tmp/[$(echo $PORT)]
```"
Change to the home directory silently in the current folder for [APP_NAME],"```bash
cd ~/.[APP_NAME]
```"
Move 'file1.txt' to 'archive/' directory  in /tmp for [USERNAME],"```bash
mv /home/[USERNAME]/file1.txt /tmp/archive/
```"
Show the current directory path silently in /usr/local/bin for,"```bash
pwd > /usr/local/bin/current_dir.txt
```"
Remove a file named 'example.txt' silently  for [IP_ADDRESS],"```bash
ssh user@[IP_ADDRESS] 'rm -f example.txt'
```"
Change to the home directory  in the current folder for [DIRECTORY],"```bash
cd ~/[DIRECTORY]
```"
Move 'file1.txt' to 'archive/' directory forcefully in the parent directory for [PROCESS_ID],"```bash
mv -f file1.txt ../archive/
```"
Create a new directory named 'test' forcefully in /Applications for [PROCESS_ID],"```bash
sudo mkdir -p /Applications/test
```"
Move 'file1.txt' to 'archive/' directory quickly in ~/.ssh for [EMAIL],"```bash
mv ~/.ssh/file1.txt ~/.ssh/archive/
```"
Create a new directory named 'test' quickly in the home directory for [DATE],"```bash
mkdir ~/test
```"
Move 'file1.txt' to 'archive/' directory verbosely in ~/.ssh for [PORT],"```bash
mv -v ~/.ssh/file1.txt ~/.ssh/archive/
```"
Display disk usage of the current directory forcefully in /Applications for [PROCESS_ID],"```bash
sudo du -sh /Applications/[PROCESS_ID]
```"
Copy 'file1.txt' to 'file2.txt' interactively  for [DIRECTORY],"```bash
cp -i [DIRECTORY]/file1.txt [DIRECTORY]/file2.txt
```"
Find all .txt files in the current directory  in /Applications for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] ""find /Applications -name '*.txt'""
```"
